Flight_Status,Carrier,Dest,Origin,Weather,Day_Week
ontime,RU,EWR,IAD,0,Th
ontime,RU,EWR,IAD,0,Th
ontime,RU,EWR,DCA,0,Th
delayed,RU,EWR,DCA,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,RU,EWR,IAD,0,Th
ontime,RU,EWR,IAD,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,OH,JFK,BWI,0,F
ontime,DH,JFK,DCA,0,F
ontime,DH,LGA,IAD,0,F
delayed,DH,LGA,IAD,0,F
delayed,DH,LGA,IAD,0,F
ontime,DH,LGA,IAD,0,F
delayed,DH,LGA,IAD,0,F
ontime,DH,LGA,IAD,0,F
delayed,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DL,JFK,DCA,0,F
ontime,DL,LGA,DCA,0,F
delayed,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,MQ,JFK,DCA,0,F
ontime,MQ,JFK,DCA,0,F
delayed,MQ,JFK,DCA,0,F
delayed,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
delayed,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
delayed,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
delayed,MQ,LGA,DCA,0,F
delayed,UA,LGA,IAD,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,RU,EWR,BWI,0,F
ontime,RU,EWR,BWI,0,F
delayed,RU,EWR,BWI,0,F
ontime,RU,EWR,BWI,0,F
ontime,CO,EWR,DCA,0,F
ontime,CO,EWR,DCA,0,F
ontime,CO,EWR,DCA,0,F
ontime,CO,EWR,DCA,0,F
ontime,DH,EWR,IAD,0,F
ontime,DH,EWR,IAD,0,F
ontime,DH,EWR,IAD,0,F
ontime,DH,EWR,IAD,0,F
ontime,DH,EWR,IAD,0,F
ontime,DH,EWR,IAD,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,DCA,0,F
delayed,RU,EWR,IAD,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,DCA,0,F
ontime,OH,JFK,BWI,0,Sa
delayed,DH,JFK,DCA,0,Sa
ontime,DH,LGA,IAD,0,Sa
ontime,DH,LGA,IAD,0,Sa
ontime,DH,LGA,IAD,0,Sa
delayed,DH,JFK,IAD,0,Sa
delayed,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
delayed,DL,JFK,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,MQ,JFK,DCA,0,Sa
delayed,MQ,JFK,DCA,0,Sa
ontime,MQ,JFK,DCA,0,Sa
ontime,MQ,LGA,DCA,0,Sa
ontime,MQ,LGA,DCA,0,Sa
ontime,UA,LGA,IAD,0,Sa
ontime,US,LGA,DCA,0,Sa
ontime,US,LGA,DCA,0,Sa
ontime,US,LGA,DCA,0,Sa
ontime,US,LGA,DCA,0,Sa
ontime,US,LGA,DCA,0,Sa
ontime,US,LGA,DCA,0,Sa
ontime,US,LGA,DCA,0,Sa
ontime,RU,EWR,BWI,0,Sa
ontime,RU,EWR,BWI,0,Sa
ontime,RU,EWR,BWI,0,Sa
ontime,RU,EWR,BWI,0,Sa
ontime,CO,EWR,DCA,0,Sa
ontime,DH,EWR,IAD,0,Sa
ontime,DH,EWR,IAD,0,Sa
ontime,DH,EWR,IAD,0,Sa
ontime,DH,EWR,IAD,0,Sa
ontime,RU,EWR,IAD,0,Sa
ontime,RU,EWR,IAD,0,Sa
ontime,RU,EWR,DCA,0,Sa
ontime,RU,EWR,IAD,0,Sa
ontime,RU,EWR,DCA,0,Sa
ontime,RU,EWR,DCA,0,Sa
ontime,RU,EWR,DCA,0,Sa
ontime,RU,EWR,DCA,0,Sa
ontime,OH,JFK,BWI,0,Su
ontime,DH,JFK,DCA,0,Su
ontime,DH,LGA,IAD,0,Su
ontime,DH,LGA,IAD,0,Su
ontime,DH,LGA,IAD,0,Su
ontime,DH,LGA,IAD,0,Su
ontime,DH,JFK,IAD,0,Su
ontime,DH,JFK,IAD,0,Su
delayed,DH,JFK,IAD,0,Su
ontime,DH,JFK,IAD,0,Su
ontime,DH,JFK,IAD,0,Su
delayed,DH,JFK,IAD,0,Su
ontime,DH,JFK,IAD,0,Su
delayed,DL,JFK,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,DL,LGA,DCA,0,Su
ontime,MQ,JFK,DCA,0,Su
ontime,MQ,JFK,DCA,0,Su
ontime,MQ,JFK,DCA,0,Su
delayed,MQ,JFK,DCA,0,Su
delayed,MQ,LGA,DCA,0,Su
ontime,MQ,LGA,DCA,0,Su
ontime,MQ,LGA,DCA,0,Su
ontime,MQ,LGA,DCA,0,Su
ontime,UA,LGA,IAD,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,US,LGA,DCA,0,Su
ontime,RU,EWR,BWI,0,Su
ontime,RU,EWR,BWI,0,Su
ontime,RU,EWR,BWI,0,Su
ontime,RU,EWR,BWI,0,Su
ontime,CO,EWR,DCA,0,Su
ontime,CO,EWR,DCA,0,Su
ontime,CO,EWR,DCA,0,Su
ontime,DH,EWR,IAD,0,Su
ontime,DH,EWR,IAD,0,Su
ontime,DH,EWR,IAD,0,Su
ontime,DH,EWR,IAD,0,Su
delayed,DH,EWR,IAD,0,Su
ontime,RU,EWR,DCA,0,Su
ontime,RU,EWR,IAD,0,Su
ontime,RU,EWR,IAD,0,Su
ontime,RU,EWR,DCA,0,Su
ontime,RU,EWR,DCA,0,Su
ontime,RU,EWR,DCA,0,Su
ontime,RU,EWR,IAD,0,Su
ontime,RU,EWR,IAD,0,Su
ontime,OH,JFK,BWI,0,M
ontime,DH,JFK,DCA,0,M
ontime,DH,LGA,IAD,0,M
ontime,DH,LGA,IAD,0,M
ontime,DH,LGA,IAD,0,M
ontime,DH,LGA,IAD,0,M
delayed,DH,LGA,IAD,0,M
ontime,DH,LGA,IAD,0,M
ontime,DH,JFK,IAD,0,M
ontime,DH,JFK,IAD,0,M
delayed,DH,JFK,IAD,0,M
ontime,DH,JFK,IAD,0,M
ontime,DH,JFK,IAD,0,M
ontime,DH,JFK,IAD,0,M
ontime,DL,JFK,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
delayed,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,DL,LGA,DCA,0,M
ontime,MQ,JFK,DCA,0,M
ontime,MQ,JFK,DCA,0,M
ontime,MQ,JFK,DCA,0,M
delayed,MQ,LGA,DCA,0,M
ontime,MQ,LGA,DCA,0,M
ontime,MQ,LGA,DCA,0,M
ontime,MQ,LGA,DCA,0,M
ontime,MQ,LGA,DCA,0,M
ontime,MQ,LGA,DCA,0,M
ontime,MQ,LGA,DCA,0,M
ontime,MQ,LGA,DCA,0,M
ontime,MQ,LGA,DCA,0,M
ontime,UA,LGA,IAD,0,M
ontime,US,LGA,DCA,0,M
delayed,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
delayed,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
delayed,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,US,LGA,DCA,0,M
ontime,RU,EWR,BWI,0,M
delayed,RU,EWR,BWI,0,M
ontime,RU,EWR,BWI,0,M
ontime,RU,EWR,BWI,0,M
ontime,CO,EWR,DCA,0,M
ontime,CO,EWR,DCA,0,M
delayed,CO,EWR,DCA,0,M
ontime,CO,EWR,DCA,0,M
ontime,DH,EWR,IAD,0,M
ontime,DH,EWR,IAD,0,M
delayed,DH,EWR,IAD,0,M
ontime,DH,EWR,IAD,0,M
ontime,DH,EWR,IAD,0,M
ontime,DH,EWR,IAD,0,M
ontime,RU,EWR,DCA,0,M
ontime,RU,EWR,DCA,0,M
ontime,RU,EWR,DCA,0,M
ontime,RU,EWR,IAD,0,M
ontime,RU,EWR,IAD,0,M
ontime,RU,EWR,DCA,0,M
ontime,RU,EWR,IAD,0,M
ontime,RU,EWR,DCA,0,M
ontime,RU,EWR,DCA,0,M
ontime,RU,EWR,IAD,0,M
ontime,RU,EWR,IAD,0,M
ontime,OH,JFK,BWI,0,T
ontime,DH,JFK,DCA,0,T
ontime,DH,LGA,IAD,0,T
delayed,DH,LGA,IAD,0,T
ontime,DH,LGA,IAD,0,T
delayed,DH,LGA,IAD,0,T
ontime,DH,LGA,IAD,0,T
ontime,DH,JFK,IAD,0,T
ontime,DH,JFK,IAD,0,T
ontime,DH,JFK,IAD,0,T
ontime,DH,JFK,IAD,0,T
ontime,DH,JFK,IAD,0,T
ontime,DH,JFK,IAD,0,T
delayed,DH,JFK,IAD,0,T
ontime,DL,JFK,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
delayed,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
ontime,DL,LGA,DCA,0,T
delayed,DL,LGA,DCA,0,T
ontime,MQ,JFK,DCA,0,T
ontime,MQ,JFK,DCA,0,T
delayed,MQ,JFK,DCA,0,T
ontime,MQ,LGA,DCA,0,T
ontime,MQ,LGA,DCA,0,T
ontime,MQ,LGA,DCA,0,T
ontime,MQ,LGA,DCA,0,T
ontime,MQ,LGA,DCA,0,T
ontime,MQ,LGA,DCA,0,T
ontime,MQ,LGA,DCA,0,T
delayed,MQ,LGA,DCA,0,T
delayed,MQ,LGA,DCA,0,T
delayed,MQ,LGA,DCA,0,T
ontime,UA,LGA,IAD,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
delayed,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,US,LGA,DCA,0,T
ontime,RU,EWR,BWI,0,T
delayed,RU,EWR,BWI,0,T
ontime,RU,EWR,BWI,0,T
delayed,RU,EWR,BWI,0,T
ontime,CO,EWR,DCA,0,T
delayed,CO,EWR,DCA,0,T
delayed,CO,EWR,DCA,0,T
ontime,CO,EWR,DCA,0,T
ontime,DH,EWR,IAD,0,T
ontime,DH,EWR,IAD,0,T
ontime,DH,EWR,IAD,0,T
ontime,DH,EWR,IAD,0,T
ontime,DH,EWR,IAD,0,T
delayed,DH,EWR,IAD,0,T
ontime,RU,EWR,IAD,0,T
ontime,RU,EWR,IAD,0,T
ontime,RU,EWR,IAD,0,T
ontime,RU,EWR,IAD,0,T
ontime,RU,EWR,DCA,0,T
delayed,RU,EWR,IAD,0,T
ontime,RU,EWR,DCA,0,T
ontime,RU,EWR,DCA,0,T
ontime,RU,EWR,DCA,0,T
ontime,RU,EWR,DCA,0,T
ontime,RU,EWR,DCA,0,T
ontime,OH,JFK,BWI,0,W
ontime,DH,JFK,DCA,0,W
ontime,DH,LGA,IAD,0,W
ontime,DH,LGA,IAD,0,W
ontime,DH,LGA,IAD,0,W
ontime,DH,LGA,IAD,0,W
ontime,DH,LGA,IAD,0,W
ontime,DH,JFK,IAD,0,W
ontime,DH,JFK,IAD,0,W
ontime,DH,JFK,IAD,0,W
ontime,DH,JFK,IAD,0,W
ontime,DH,JFK,IAD,0,W
ontime,DH,JFK,IAD,0,W
ontime,DH,JFK,IAD,0,W
ontime,DL,JFK,DCA,0,W
ontime,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
delayed,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
delayed,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
ontime,DL,LGA,DCA,0,W
delayed,DL,LGA,DCA,0,W
delayed,DL,LGA,DCA,0,W
ontime,MQ,JFK,DCA,0,W
ontime,MQ,JFK,DCA,0,W
ontime,MQ,JFK,DCA,0,W
delayed,MQ,LGA,DCA,0,W
ontime,MQ,LGA,DCA,0,W
ontime,MQ,LGA,DCA,0,W
delayed,MQ,LGA,DCA,0,W
ontime,MQ,LGA,DCA,0,W
ontime,MQ,LGA,DCA,0,W
ontime,MQ,LGA,DCA,0,W
ontime,MQ,LGA,DCA,0,W
ontime,MQ,LGA,DCA,0,W
ontime,UA,LGA,IAD,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
delayed,US,LGA,DCA,0,W
ontime,US,LGA,DCA,0,W
ontime,RU,EWR,BWI,0,W
ontime,RU,EWR,BWI,0,W
ontime,RU,EWR,BWI,0,W
ontime,RU,EWR,BWI,0,W
ontime,CO,EWR,DCA,0,W
ontime,CO,EWR,DCA,0,W
ontime,CO,EWR,DCA,0,W
delayed,CO,EWR,DCA,0,W
ontime,DH,EWR,IAD,0,W
ontime,DH,EWR,IAD,0,W
ontime,DH,EWR,IAD,0,W
delayed,DH,EWR,IAD,0,W
ontime,DH,EWR,IAD,0,W
delayed,DH,EWR,IAD,0,W
ontime,RU,EWR,IAD,0,W
ontime,RU,EWR,IAD,0,W
ontime,RU,EWR,DCA,0,W
ontime,RU,EWR,DCA,0,W
ontime,RU,EWR,DCA,0,W
ontime,RU,EWR,IAD,0,W
ontime,RU,EWR,DCA,0,W
ontime,RU,EWR,IAD,0,W
ontime,RU,EWR,IAD,0,W
ontime,RU,EWR,DCA,0,W
ontime,RU,EWR,DCA,0,W
ontime,OH,JFK,BWI,0,Th
ontime,DH,JFK,DCA,0,Th
ontime,DH,LGA,IAD,0,Th
delayed,DH,LGA,IAD,0,Th
delayed,DH,LGA,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DL,JFK,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
delayed,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
delayed,DL,LGA,DCA,0,Th
delayed,DL,LGA,DCA,0,Th
ontime,MQ,JFK,DCA,0,Th
ontime,MQ,JFK,DCA,0,Th
ontime,MQ,JFK,DCA,0,Th
delayed,MQ,LGA,DCA,0,Th
ontime,MQ,LGA,DCA,0,Th
delayed,MQ,LGA,DCA,0,Th
ontime,MQ,LGA,DCA,0,Th
ontime,MQ,LGA,DCA,0,Th
delayed,MQ,LGA,DCA,0,Th
delayed,MQ,LGA,DCA,0,Th
delayed,MQ,LGA,DCA,0,Th
delayed,UA,LGA,IAD,0,Th
delayed,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
delayed,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
delayed,US,LGA,DCA,0,Th
delayed,US,LGA,DCA,0,Th
ontime,RU,EWR,BWI,0,Th
delayed,RU,EWR,BWI,0,Th
delayed,RU,EWR,BWI,0,Th
delayed,CO,EWR,DCA,0,Th
delayed,CO,EWR,DCA,0,Th
ontime,CO,EWR,DCA,0,Th
ontime,DH,EWR,IAD,0,Th
ontime,DH,EWR,IAD,0,Th
ontime,DH,EWR,IAD,0,Th
ontime,DH,EWR,IAD,0,Th
ontime,RU,EWR,DCA,0,Th
delayed,RU,EWR,IAD,0,Th
delayed,RU,EWR,IAD,0,Th
delayed,RU,EWR,IAD,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,RU,EWR,IAD,0,Th
delayed,RU,EWR,DCA,0,Th
delayed,RU,EWR,DCA,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,OH,JFK,BWI,0,F
ontime,DH,JFK,DCA,0,F
delayed,DH,LGA,IAD,0,F
delayed,DH,LGA,IAD,0,F
ontime,DH,LGA,IAD,0,F
ontime,DH,LGA,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
delayed,DL,JFK,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
delayed,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
